viewing_id,client_id,agent_id,property_id,viewing_date
1,745,37,534,2022-03-04
2,645,31,1185,2022-06-23
3,587,4,1345,2022-10-26
4,829,48,1279,2022-01-28
5,294,32,169,2022-05-10
6,518,5,1744,2022-10-12
7,259,9,1262,2022-10-15
8,282,17,30,2022-04-25
9,619,12,1864,2023-08-29
10,757,10,1350,2023-04-03
11,379,12,536,2022-08-30
12,497,12,1638,2023-06-25
13,883,3,703,2022-03-28
14,991,10,1220,2022-06-07
15,858,32,1542,2023-02-27
16,789,25,488,2023-11-08
17,451,47,1306,2022-06-21
18,216,37,1504,2022-12-20
19,56,42,542,2022-04-29
20,54,11,951,2023-02-13
21,488,20,976,2023-06-30
22,240,25,1400,2023-02-04
23,486,17,298,2023-06-28
24,892,28,25,2022-10-23
25,950,29,783,2023-11-26
26,324,34,1399,2022-02-12
27,100,35,1306,2022-12-29
28,980,28,1251,2023-10-30
29,879,18,687,2022-10-04
30,274,7,523,2023-11-02
31,599,26,945,2023-11-23
32,768,16,1504,2023-11-20
33,603,50,400,2023-06-17
34,346,44,1414,2022-07-04
35,321,36,22,2023-11-20
36,9,5,25,2023-02-26
37,101,34,213,2023-04-02
38,360,15,1486,2022-10-18
39,258,13,70,2022-01-25
40,635,6,117,2023-09-01
41,673,14,1947,2023-09-06
42,654,8,1451,2022-05-03
43,89,39,267,2023-01-20
44,673,49,1843,2023-10-26
45,580,12,1836,2022-04-24
46,713,12,519,2022-10-29
47,479,43,1918,2022-03-19
48,655,30,1890,2022-10-11
49,788,28,1418,2023-11-15
50,789,50,663,2022-09-21
51,166,50,152,2022-10-11
52,796,4,784,2023-02-02
53,341,4,529,2022-09-29
54,183,29,143,2023-05-19
55,951,13,1250,2023-02-07
56,183,42,1008,2022-04-22
57,148,35,1575,2023-03-18
58,224,40,1318,2022-04-19
59,935,29,1466,2022-09-23
60,106,3,150,2022-03-14
61,586,47,514,2023-04-02
62,20,32,305,2023-10-31
63,656,1,1911,2022-02-08
64,681,25,546,2022-06-05
65,717,22,1853,2023-02-05
66,589,1,1056,2023-05-18
67,490,28,828,2022-03-13
68,554,15,7,2023-01-29
69,978,45,1676,2023-05-09
70,125,37,1097,2023-01-03
71,342,44,621,2023-02-15
72,57,41,1964,2023-10-25
73,93,24,1095,2022-12-15
74,83,30,1558,2022-10-24
75,664,13,362,2023-07-22
76,41,25,1354,2022-07-15
77,307,45,799,2022-04-20
78,646,45,736,2023-05-14
79,87,41,897,2022-07-14
80,144,3,396,2022-01-26
81,738,38,489,2023-05-16
82,399,5,1624,2023-07-08
83,659,20,1024,2023-07-01
84,989,29,1980,2022-01-17
85,38,22,115,2022-12-12
86,807,47,88,2023-02-20
87,122,14,1653,2023-11-01
88,684,34,939,2023-11-26
89,892,35,306,2023-08-17
90,239,5,76,2022-05-25
91,501,42,40,2023-04-28
92,929,40,94,2022-09-06
93,719,42,268,2022-01-15
94,177,41,103,2022-11-11
95,841,7,935,2023-09-18
96,175,38,131,2022-04-19
97,117,32,1219,2023-09-23
98,226,5,1648,2022-07-27
99,437,22,1662,2023-11-26
100,412,21,248,2023-12-02
101,590,35,282,2022-11-26
102,857,14,1566,2022-02-16
103,608,12,688,2022-03-06
104,124,18,290,2023-03-02
105,173,45,758,2023-07-21
